state,county,NAME,median_income,population,year
39,065,"Hardin County, Ohio",39945.0,32127,2011
39,079,"Jackson County, Ohio",37243.0,33176,2011
39,077,"Huron County, Ohio",48358.0,59813,2011
39,009,"Athens County, Ohio",33546.0,64562,2011
39,001,"Adams County, Ohio",34232.0,28551,2011
39,103,"Medina County, Ohio",65578.0,171327,2011
39,095,"Lucas County, Ohio",41949.0,442708,2011
39,121,"Noble County, Ohio",40239.0,14658,2011
39,147,"Seneca County, Ohio",41761.0,56901,2011
39,151,"Stark County, Ohio",45347.0,376142,2011
39,031,"Coshocton County, Ohio",40727.0,36974,2011
39,041,"Delaware County, Ohio",90022.0,170541,2011
39,055,"Geauga County, Ohio",66229.0,93476,2011
39,073,"Hocking County, Ohio",42227.0,29400,2011
39,085,"Lake County, Ohio",55968.0,229745,2011
39,141,"Ross County, Ohio",44577.0,77868,2011
39,035,"Cuyahoga County, Ohio",44088.0,1285279,2011
39,075,"Holmes County, Ohio",44746.0,42264,2011
39,109,"Miami County, Ohio",51438.0,102487,2011
39,111,"Monroe County, Ohio",38811.0,14709,2011
39,155,"Trumbull County, Ohio",42441.0,211403,2011
39,173,"Wood County, Ohio",53610.0,125566,2011
39,005,"Ashland County, Ohio",45641.0,53331,2011
40,043,"Dewey County, Oklahoma",41500.0,4773,2011
40,059,"Harper County, Oklahoma",44850.0,3641,2011
40,083,"Logan County, Oklahoma",50249.0,40863,2011
40,143,"Tulsa County, Oklahoma",47005.0,596873,2011
40,147,"Washington County, Oklahoma",47144.0,50791,2011
40,057,"Harmon County, Oklahoma",31211.0,2873,2011
40,061,"Haskell County, Oklahoma",37326.0,12677,2011
40,111,"Okmulgee County, Oklahoma",39324.0,39766,2011
40,113,"Osage County, Oklahoma",42847.0,47361,2011
40,067,"Jefferson County, Oklahoma",34256.0,6454,2011
40,047,"Garfield County, Oklahoma",41688.0,59680,2011
40,049,"Garvin County, Oklahoma",39171.0,27498,2011
40,121,"Pittsburg County, Oklahoma",41317.0,45562,2011
40,123,"Pontotoc County, Oklahoma",40641.0,37102,2011
40,129,"Roger Mills County, Oklahoma",54352.0,3591,2011
40,153,"Woodward County, Oklahoma",51087.0,20105,2011
40,021,"Cherokee County, Oklahoma",33990.0,46653,2011
40,041,"Delaware County, Oklahoma",35552.0,41295,2011
40,045,"Ellis County, Oklahoma",45017.0,4071,2011
40,051,"Grady County, Oklahoma",47456.0,52062,2011
40,119,"Payne County, Oklahoma",35716.0,76291,2011
40,125,"Pottawatomie County, Oklahoma",41332.0,69276,2011
40,037,"Creek County, Oklahoma",42940.0,69450,2011
40,141,"Tillman County, Oklahoma",31437.0,8092,2011
40,149,"Washita County, Oklahoma",44331.0,11601,2011
40,033,"Cotton County, Oklahoma",46075.0,6199,2011
40,075,"Kiowa County, Oklahoma",33068.0,9470,2011
40,079,"Le Flore County, Oklahoma",36815.0,50106,2011
40,089,"McCurtain County, Oklahoma",31328.0,33121,2011
40,093,"Major County, Oklahoma",48012.0,7530,2011
40,097,"Mayes County, Oklahoma",42425.0,41063,2011
40,109,"Oklahoma County, Oklahoma",44413.0,712491,2011
40,039,"Custer County, Oklahoma",43125.0,27144,2011
40,085,"Love County, Oklahoma",41163.0,9343,2011
40,009,"Beckham County, Oklahoma",45726.0,22272,2011
40,023,"Choctaw County, Oklahoma",28039.0,15186,2011
40,065,"Jackson County, Oklahoma",41391.0,26311,2011
40,081,"Lincoln County, Oklahoma",41763.0,33964,2011
40,117,"Pawnee County, Oklahoma",41832.0,16585,2011
40,133,"Seminole County, Oklahoma",33799.0,25280,2011
40,025,"Cimarron County, Oklahoma",35440.0,2486,2011
40,011,"Blaine County, Oklahoma",41306.0,11122,2011
40,029,"Coal County, Oklahoma",34217.0,5853,2011
40,053,"Grant County, Oklahoma",42227.0,4569,2011
40,073,"Kingfisher County, Oklahoma",52130.0,14928,2011
40,087,"McClain County, Oklahoma",56128.0,33873,2011
40,095,"Marshall County, Oklahoma",39473.0,15675,2011
40,103,"Noble County, Oklahoma",43324.0,11533,2011
40,105,"Nowata County, Oklahoma",38459.0,10660,2011
40,131,"Rogers County, Oklahoma",58434.0,86149,2011
40,135,"Sequoyah County, Oklahoma",38292.0,42074,2011
40,003,"Alfalfa County, Oklahoma",42730.0,5625,2011
40,151,"Woods County, Oklahoma",47255.0,8701,2011
40,027,"Cleveland County, Oklahoma",53759.0,251643,2011
40,107,"Okfuskee County, Oklahoma",34418.0,12132,2011
40,005,"Atoka County, Oklahoma",33919.0,14183,2011
41,061,"Union County, Oregon",40974.0,25573,2011
41,047,"Marion County, Oregon",46191.0,313020,2011
41,019,"Douglas County, Oregon",40501.0,107382,2011
41,031,"Jefferson County, Oregon",42867.0,21786,2011
41,053,"Polk County, Oregon",52865.0,74734,2011
41,017,"Deschutes County, Oregon",52962.0,157014,2011
41,043,"Linn County, Oregon",46872.0,115776,2011
41,071,"Yamhill County, Oregon",53819.0,98293,2011
41,001,"Baker County, Oregon",40989.0,16126,2011
41,035,"Klamath County, Oregon",41787.0,66517,2011
41,041,"Lincoln County, Oregon",41764.0,45933,2011
41,003,"Benton County, Oregon",47716.0,84943,2011
41,013,"Crook County, Oregon",45004.0,21356,2011
41,055,"Sherman County, Oregon",46453.0,1908,2011
41,025,"Harney County, Oregon",38702.0,7383,2011
41,045,"Malheur County, Oregon",39013.0,31280,2011
41,063,"Wallowa County, Oregon",39556.0,6949,2011
41,069,"Wheeler County, Oregon",34338.0,1238,2011
41,049,"Morrow County, Oregon",46110.0,11107,2011
41,011,"Coos County, Oregon",37789.0,63108,2011
41,015,"Curry County, Oregon",39787.0,22373,2011
41,021,"Gilliam County, Oregon",42260.0,1873,2011
41,027,"Hood River County, Oregon",54109.0,21962,2011
41,037,"Lake County, Oregon",36583.0,7906,2011
41,051,"Multnomah County, Oregon",50726.0,724803,2011
42,103,"Pike County, Pennsylvania",58672.0,57242,2011
42,109,"Snyder County, Pennsylvania",46184.0,39597,2011
42,115,"Susquehanna County, Pennsylvania",46392.0,43311,2011
42,039,"Crawford County, Pennsylvania",40379.0,89058,2011
42,049,"Erie County, Pennsylvania",44503.0,279824,2011
42,057,"Fulton County, Pennsylvania",45960.0,14858,2011
42,067,"Juniata County, Pennsylvania",45496.0,24439,2011
42,107,"Schuylkill County, Pennsylvania",44150.0,148195,2011
42,131,"Wyoming County, Pennsylvania",48063.0,28333,2011
42,001,"Adams County, Pennsylvania",57097.0,101137,2011
42,005,"Armstrong County, Pennsylvania",44663.0,69208,2011
42,035,"Clinton County, Pennsylvania",39696.0,39015,2011
42,025,"Carbon County, Pennsylvania",49056.0,64974,2011
42,027,"Centre County, Pennsylvania",48262.0,152689,2011
42,097,"Northumberland County, Pennsylvania",39605.0,94321,2011
42,095,"Northampton County, Pennsylvania",60540.0,296323,2011
42,121,"Venango County, Pennsylvania",40986.0,55106,2011
42,007,"Beaver County, Pennsylvania",47928.0,171027,2011
42,069,"Lackawanna County, Pennsylvania",45185.0,214057,2011
42,083,"McKean County, Pennsylvania",40721.0,43642,2011
42,051,"Fayette County, Pennsylvania",36605.0,137803,2011
42,091,"Montgomery County, Pennsylvania",78446.0,794921,2011
42,033,"Clearfield County, Pennsylvania",39391.0,81954,2011
42,075,"Lebanon County, Pennsylvania",53474.0,132550,2011
42,081,"Lycoming County, Pennsylvania",43788.0,116335,2011
42,093,"Montour County, Pennsylvania",46421.0,18193,2011
42,123,"Warren County, Pennsylvania",42167.0,41771,2011
42,019,"Butler County, Pennsylvania",57474.0,183317,2011
42,047,"Elk County, Pennsylvania",42854.0,32233,2011
42,071,"Lancaster County, Pennsylvania",55816.0,515817,2011
42,085,"Mercer County, Pennsylvania",43504.0,116939,2011
42,105,"Potter County, Pennsylvania",40000.0,17487,2011
42,117,"Tioga County, Pennsylvania",42027.0,41850,2011
44,005,"Newport County, Rhode Island",69369.0,82765,2011
44,007,"Providence County, Rhode Island",49411.0,627362,2011
44,001,"Bristol County, Rhode Island",70553.0,50264,2011
45,003,"Aiken County, South Carolina",43999.0,158253,2011
45,005,"Allendale County, South Carolina",22982.0,10548,2011
45,037,"Edgefield County, South Carolina",44090.0,26782,2011
45,023,"Chester County, South Carolina",32112.0,33190,2011
45,029,"Colleton County, South Carolina",31700.0,38833,2011
45,067,"Marion County, South Carolina",31762.0,33335,2011
45,063,"Lexington County, South Carolina",52857.0,257756,2011
45,073,"Oconee County, South Carolina",42641.0,73629,2011
45,015,"Berkeley County, South Carolina",51093.0,174679,2011
45,019,"Charleston County, South Carolina",50133.0,346981,2011
45,043,"Georgetown County, South Carolina",42677.0,60280,2011
45,069,"Marlboro County, South Carolina",28511.0,28977,2011
45,007,"Anderson County, South Carolina",42854.0,185675,2011
45,025,"Chesterfield County, South Carolina",32304.0,46378,2011
45,047,"Greenwood County, South Carolina",39366.0,69243,2011
